"longitude";"latitude";"delivery_company_id";"id"
"";"";"13";"2616"
"";"";"13";"2919"
"";"";"12";"5136"
"37.991625";"59.122665";"10";"7514"
"";"";"13";"3561"
"";"";"13";"4217"
"";"";"13";"2623"
"";"";"13";"2923"
"47.489402";"56.113246";"1";"5731"
"";"";"12";"4950"
"";"";"12";"4929"
"49.234515";"55.784160";"10";"989"
"";"";"13";"2641"
"";"";"13";"2645"
"37.500887";"55.740786";"10";"755"
"73.430126";"61.253550";"10";"1113"
"";"";"13";"3001"
"37.461517";"55.779907";"10";"805"
"";"";"13";"3662"
"37.356784";"55.847226";"10";"840"
"36.272507";"54.533095";"10";"955"
"";"";"13";"3397"
"";"";"13";"3558"
"";"";"13";"3566"
"";"";"13";"3832"
"";"";"13";"3843"
"";"";"13";"3570"
"82.928733";"55.044054";"10";"1071"
"";"";"13";"4068"
"";"";"12";"4870"
"37.404924";"55.707851";"1";"5452"
"";"";"13";"3851"
"";"";"13";"3858"
"";"";"13";"3855"
"";"";"13";"3868"
"64.052306";"67.494584";"1";"5454"
"";"";"13";"3569"
"";"";"13";"3859"
"";"";"13";"3876"
"44.040186";"56.283809";"10";"906"
"";"";"13";"4567"
"84.995069";"56.466113";"10";"1127"
"";"";"13";"3869"
"37.615357";"55.664983";"10";"1912"
"";"";"13";"3875"
"";"";"13";"2370"
"";"";"13";"2371"
"";"";"13";"3576"
"";"";"13";"3574"
"";"";"13";"3580"
"";"";"13";"2727"
"";"";"13";"4690"
"";"";"13";"4330"
"";"";"12";"4906"
"63.576199";"61.368537";"1";"5475"
"";"";"13";"3886"
"";"";"13";"3892"
"";"";"13";"2970"
"";"";"13";"3577"
"";"";"13";"3578"
"";"";"13";"3584"
"";"";"13";"6540"
"43.866526";"56.237392";"10";"909"
"56.247229";"58.000404";"10";"1104"
"";"";"13";"3898"
"";"";"13";"3900"
"45.022765";"53.132626";"12";"4885"
"37.788281";"55.745890";"10";"1585"
"30.434933";"59.934702";"10";"903"
"47.818790";"52.019580";"10";"1056"
"45.159690";"53.196613";"12";"4884"
"";"";"13";"3902"
"37.866789";"55.914319";"10";"1584"
"73.401045";"61.241648";"12";"5351"
"";"";"13";"6746"
"37.715866";"55.759577";"1";"1834"
"132.167010";"43.352841";"10";"1144"
"";"";"13";"6434"
"";"";"13";"3593"
"30.381697";"59.833705";"1";"4811"
"61.308932";"56.797408";"1";"5513"
"";"";"13";"3592"
"";"";"13";"3594"
"37.762542";"44.720812";"12";"5444"
"";"";"13";"3908"
"";"";"13";"3915"
"";"";"13";"5194"
"";"";"13";"6721"
"42.159419";"47.513222";"1";"5674"
"";"";"13";"2456"
"";"";"13";"2827"
"";"";"12";"1979"
"";"";"13";"3923"
"30.393500";"59.986500";"12";"1857"
"37.735395";"55.816844";"12";"6078"
"";"";"13";"2992"
